date,DAP,fname,ti_value,leaf_cnt,temp,init_leaf_count,leaf_incr_count,GDD,tempRate,est_inc_leaf,temp1
2021-09-07,0,C12_L02_01_001,21.81818182,3,21,3,0,0,0,1.28549969,21
2021-09-14,7,C12_L02_01_001,21.55172414,5,21,3,2,112,6.8356237,2.19755271,21
2021-09-23,16,C12_L02_01_001,21.21428571,9,21,3,6,256,15.62428274,4.080244564,21
2021-10-19,0,C12_L02_01_001,21.1,4,21,4,0,0,0,1.28549969,21
2021-10-26,7,C12_L02_01_001,21.7,6,21,4,2,112,6.8356237,2.19755271,21
2021-11-02,14,C12_L02_01_001,21.88888889,8,21,4,4,224,13.6712474,3.587434022,21
2021-11-23,0,C12_L02_01_001,24,2,24,2,0,0,0,1.28549969,24
2021-11-30,7,C12_L02_01_001,24,4,24,2,2,133,6.443998124,2.41896278,24
2021-12-07,14,C12_L02_01_001,24,8,24,2,6,266,12.88799625,4.242661091,24
2021-12-28,0,C12_L02_01_001,23.54545455,1,23,1,0,0,0,1.28549969,
2022-01-11,7,C12_L02_01_001,23.81818182,5,23,1,4,126,6.591791281,2.343223459,
2022-01-18,14,C12_L02_01_001,24,9,24,1,8,266,12.88799625,4.242661091,24
2021-09-07,0,C12_L02_01_002,21.81818182,4,21,4,0,0,0,1.28549969,21
2021-09-14,7,C12_L02_01_002,21.48484848,4,21,4,0,112,6.8356237,2.19755271,21
2021-09-23,16,C12_L02_01_002,21.25,8,21,4,4,256,15.62428274,4.080244564,21
2021-10-19,0,C12_L02_01_002,20.85714286,3,20,3,0,0,0,1.28549969,
2021-10-26,7,C12_L02_01_002,21.72727273,6,21,3,3,112,6.8356237,2.19755271,21
2021-11-02,14,C12_L02_01_002,21.8,7,21,3,4,224,13.6712474,3.587434022,21
2021-11-09,21,C12_L02_01_002,21.66666667,7,21,3,4,336,20.5068711,5.480090718,21
2021-11-16,28,C12_L02_01_002,21.66666667,11,21,3,8,448,27.3424948,7.697768549,21
2021-11-23,0,C12_L02_01_002,24,2,24,2,0,0,0,1.28549969,24
2021-11-30,7,C12_L02_01_002,24,4,24,2,2,133,6.443998124,2.41896278,24
2021-12-07,14,C12_L02_01_002,24,8,24,2,6,266,12.88799625,4.242661091,24
2021-12-28,0,C12_L02_01_002,23.4,1,23,1,0,0,0,1.28549969,
2022-01-11,7,C12_L02_01_002,23.81818182,6,23,1,5,126,6.591791281,2.343223459,
2022-01-18,14,C12_L02_01_002,24,9,24,1,8,266,12.88799625,4.242661091,24
2021-09-07,0,C12_L02_01_003,21.8,3,21,3,0,0,0,1.28549969,21
2021-09-14,7,C12_L02_01_003,21.44444444,4,21,3,1,112,6.8356237,2.19755271,21
2021-09-23,16,C12_L02_01_003,21.63636364,8,21,3,5,256,15.62428274,4.080244564,21
2021-10-19,0,C12_L02_01_003,21.3,3,21,3,0,0,0,1.28549969,21
2021-10-26,7,C12_L02_01_003,21.66666667,6,21,3,3,112,6.8356237,2.19755271,21
2021-11-02,14,C12_L02_01_003,21.75,7,21,3,4,224,13.6712474,3.587434022,21
2021-11-23,0,C12_L02_01_003,24,2,24,2,0,0,0,1.28549969,24
2021-11-30,7,C12_L02_01_003,24,4,24,2,2,133,6.443998124,2.41896278,24
2021-12-07,14,C12_L02_01_003,24,8,24,2,6,266,12.88799625,4.242661091,24
2021-12-28,0,C12_L02_01_003,23.5,1,23,1,0,0,0,1.28549969,
2022-01-11,7,C12_L02_01_003,23.8,5,23,1,4,126,6.591791281,2.343223459,
2021-09-07,0,C12_L02_01_004,22,4,22,4,0,0,0,1.28549969,
2021-09-14,7,C12_L02_01_004,21.53333333,4,21,4,0,112,6.8356237,2.19755271,21
2021-09-23,16,C12_L02_01_004,21.23076923,8,21,4,4,256,15.62428274,4.080244564,21
2021-10-19,0,C12_L02_01_004,21.1,3,21,3,0,0,0,1.28549969,21
2021-10-26,7,C12_L02_01_004,21.7,6,21,3,3,112,6.8356237,2.19755271,21
2021-11-23,0,C12_L02_01_004,24,1,24,1,0,0,0,1.28549969,24
2021-11-30,7,C12_L02_01_004,24,3,24,1,2,133,6.443998124,2.41896278,24
2021-12-07,14,C12_L02_01_004,24,6,24,1,5,266,12.88799625,4.242661091,24
2021-12-14,21,C12_L02_01_004,24.125,9,24,1,8,399,19.33199437,6.708174872,24
2021-12-21,28,C12_L02_01_004,23.88888889,10,23,1,9,504,26.36716512,8.81837923,
2021-12-28,0,C12_L02_01_004,23.5,1,23,1,0,0,0,1.28549969,
2022-01-11,7,C12_L02_01_004,23.81818182,5,23,1,4,126,6.591791281,2.343223459,
2022-01-18,14,C12_L02_01_004,24,8,24,1,7,266,12.88799625,4.242661091,24
2021-09-07,0,C12_L02_01_005,21.75,4,21,4,0,0,0,1.28549969,21
2021-09-14,7,C12_L02_01_005,21.46666667,5,21,4,1,112,6.8356237,2.19755271,21
2021-10-19,0,C12_L02_01_005,21.18181818,4,21,4,0,0,0,1.28549969,21
2021-10-26,7,C12_L02_01_005,21.7,6,21,4,2,112,6.8356237,2.19755271,21
2021-11-23,0,C12_L02_01_005,24,1,24,1,0,0,0,1.28549969,24
2021-11-30,7,C12_L02_01_005,24,3,24,1,2,133,6.443998124,2.41896278,24
2021-12-07,14,C12_L02_01_005,24,6,24,1,5,266,12.88799625,4.242661091,24
2021-12-14,21,C12_L02_01_005,24.125,9,24,1,8,399,19.33199437,6.708174872,24
2021-12-28,0,C12_L02_01_005,23.45454545,1,23,1,0,0,0,1.28549969,
2022-01-11,7,C12_L02_01_005,23.81818182,5,23,1,4,126,6.591791281,2.343223459,
2022-01-18,14,C12_L02_01_005,24,8,24,1,7,266,12.88799625,4.242661091,24
2021-09-07,0,C12_L02_01_006,21.84615385,4,21,4,0,0,0,1.28549969,21
2021-09-14,7,C12_L02_01_006,21.48387097,5,21,4,1,112,6.8356237,2.19755271,21
2021-10-19,0,C12_L02_01_006,21.1,4,21,4,0,0,0,1.28549969,21
2021-10-26,7,C12_L02_01_006,21.77777778,6,21,4,2,112,6.8356237,2.19755271,21
2021-11-23,0,C12_L02_01_006,24,2,24,2,0,0,0,1.28549969,24
2021-11-30,7,C12_L02_01_006,24,4,24,2,2,133,6.443998124,2.41896278,24
2021-12-07,14,C12_L02_01_006,24,7,24,2,5,266,12.88799625,4.242661091,24
2021-12-14,21,C12_L02_01_006,24.125,9,24,2,7,399,19.33199437,6.708174872,24
2021-12-21,28,C12_L02_01_006,23.85714286,11,23,2,9,504,26.36716512,8.81837923,
2021-12-28,0,C12_L02_01_006,23.5,1,23,1,0,0,0,1.28549969,
2022-01-11,7,C12_L02_01_006,23.8,5,23,1,4,126,6.591791281,2.343223459,
2022-01-18,14,C12_L02_01_006,24,9,24,1,8,266,12.88799625,4.242661091,24
2021-09-07,0,C12_L02_01_007,21.75,4,21,4,0,0,0,1.28549969,21
2021-09-14,7,C12_L02_01_007,21.48484848,5,21,4,1,112,6.8356237,2.19755271,21
2021-09-07,0,C12_L02_01_008,21.90909091,3,21,3,0,0,0,1.28549969,21
2021-09-14,7,C12_L02_01_008,21.4516129,4,21,3,1,112,6.8356237,2.19755271,21
2021-09-23,16,C12_L02_01_008,20.33333333,9,20,3,6,240,15.82336878,3.828629936,
2021-09-07,0,C12_L02_01_009,21.9,4,21,4,0,0,0,1.28549969,21
2021-09-14,7,C12_L02_01_009,21.5,4,21,4,0,112,6.8356237,2.19755271,21
2021-09-23,16,C12_L02_01_009,21.21428571,9,21,4,5,256,15.62428274,4.080244564,21
2021-10-19,0,C14_L02_01_001,22,3,22,3,0,0,0,1.28549969,
2021-10-26,7,C14_L02_01_001,22,5,22,3,2,119,6.72371898,2.269427813,
2021-11-02,14,C14_L02_01_001,22,5,22,3,2,238,13.44743796,3.797905425,
2021-11-09,21,C14_L02_01_001,22,7,22,3,4,357,20.17115694,5.880320095,
2021-11-15,27,C14_L02_01_001,22,9,22,3,6,459,25.93434464,7.920202781,
2021-11-23,0,C14_L02_01_001,24.25,2,24,2,0,0,0,1.28549969,24
2021-11-30,7,C14_L02_01_001,23.8,4,23,2,2,126,6.591791281,2.343223459,
2021-12-28,0,C14_L02_01_001,24.4,1,24,1,0,0,0,1.28549969,24
2022-01-11,7,C14_L02_01_001,24,6,24,1,5,133,6.443998124,2.41896278,24
2022-01-18,14,C14_L02_01_001,23,9,23,1,8,252,13.18358256,4.016379349,
2021-10-19,0,C14_L02_01_002,22,4,22,4,0,0,0,1.28549969,
2021-10-26,7,C14_L02_01_002,22,5,22,4,1,119,6.72371898,2.269427813,
2021-11-02,14,C14_L02_01_002,22.44444444,6,22,4,2,238,13.44743796,3.797905425,
2021-11-09,21,C14_L02_01_002,22,9,22,4,5,357,20.17115694,5.880320095,
2021-11-15,27,C14_L02_01_002,22,9,22,4,5,459,25.93434464,7.920202781,
2021-11-23,0,C14_L02_01_002,24,2,24,2,0,0,0,1.28549969,24
2021-11-30,7,C14_L02_01_002,23.8,4,23,2,2,126,6.591791281,2.343223459,
2021-12-28,0,C14_L02_01_002,24.3,1,24,1,0,0,0,1.28549969,24
2022-01-11,7,C14_L02_01_002,24,5,24,1,4,133,6.443998124,2.41896278,24
2022-01-18,14,C14_L02_01_002,23.33333333,8,23,1,7,252,13.18358256,4.016379349,
2021-10-19,0,C14_L02_01_003,21.7,4,21,4,0,0,0,1.28549969,21
2021-10-26,7,C14_L02_01_003,22,6,22,4,2,119,6.72371898,2.269427813,
2021-11-02,0,C14_L02_01_003,22.36363636,5,22,5,0,0,0,1.28549969,
2021-11-09,7,C14_L02_01_003,22,10,22,5,5,119,6.72371898,2.269427813,
2021-11-15,13,C14_L02_01_003,22,10,22,5,5,221,12.48690668,3.543388338,
2021-11-23,0,C14_L02_01_003,24,2,24,2,0,0,0,1.28549969,24
2021-11-30,7,C14_L02_01_003,23.8,4,23,2,2,126,6.591791281,2.343223459,
2021-12-07,14,C14_L02_01_003,24,6,24,2,4,266,12.88799625,4.242661091,24
2021-12-28,0,C14_L02_01_003,24.36363636,2,24,2,0,0,0,1.28549969,24
2022-01-11,7,C14_L02_01_003,24,6,24,2,4,133,6.443998124,2.41896278,24
2022-01-18,14,C14_L02_01_003,23,8,23,2,6,252,13.18358256,4.016379349,
2021-08-31,0,C14_L02_01_004,22.33333333,2,22,2,0,0,0,1.28549969,
2021-09-07,7,C14_L02_01_004,22,4,22,2,2,119,6.72371898,2.269427813,
2021-09-14,14,C14_L02_01_004,21.41935484,7,21,2,5,224,13.6712474,3.587434022,21
2021-10-19,0,C14_L02_01_004,21.81818182,4,21,4,0,0,0,1.28549969,21
2021-10-26,7,C14_L02_01_004,22,6,22,4,2,119,6.72371898,2.269427813,
2021-11-02,14,C14_L02_01_004,22,7,22,4,3,238,13.44743796,3.797905425,
2021-11-23,0,C14_L02_01_004,24.2,2,24,2,0,0,0,1.28549969,24
2021-11-30,7,C14_L02_01_004,24.18181818,5,24,2,3,133,6.443998124,2.41896278,24
2021-12-07,14,C14_L02_01_004,24,8,24,2,6,266,12.88799625,4.242661091,24
2021-12-28,0,C14_L02_01_004,24.36363636,2,24,2,0,0,0,1.28549969,24
2022-01-11,7,C14_L02_01_004,24,6,24,2,4,133,6.443998124,2.41896278,24
2022-01-18,14,C14_L02_01_004,23.33333333,8,23,2,6,252,13.18358256,4.016379349,
2021-08-31,0,C14_L02_01_005,22.25,2,22,2,0,0,0,1.28549969,
2021-09-07,7,C14_L02_01_005,22,4,22,2,2,119,6.72371898,2.269427813,
2021-09-14,14,C14_L02_01_005,21.375,6,21,2,4,224,13.6712474,3.587434022,21
2021-10-19,0,C14_L02_01_005,21.83333333,4,21,4,0,0,0,1.28549969,21
2021-10-26,7,C14_L02_01_005,22,6,22,4,2,119,6.72371898,2.269427813,
2021-11-02,14,C14_L02_01_005,22.57142857,7,22,4,3,238,13.44743796,3.797905425,
2021-11-23,0,C14_L02_01_005,24.2,2,24,2,0,0,0,1.28549969,24
2021-11-30,7,C14_L02_01_005,24,4,24,2,2,133,6.443998124,2.41896278,24
2021-12-07,14,C14_L02_01_005,23.91666667,7,23,2,5,252,13.18358256,4.016379349,
2021-12-28,0,C14_L02_01_005,24.36363636,1,24,1,0,0,0,1.28549969,24
2022-01-11,7,C14_L02_01_005,24,5,24,1,4,133,6.443998124,2.41896278,24
2022-01-18,14,C14_L02_01_005,23.5,7,23,1,6,252,13.18358256,4.016379349,
2021-09-07,0,C14_L02_01_006,22,4,22,4,0,0,0,1.28549969,
2021-09-14,7,C14_L02_01_006,21.33333333,6,21,4,2,112,6.8356237,2.19755271,21
2021-10-19,0,C14_L02_01_006,21.83333333,4,21,4,0,0,0,1.28549969,21
2021-10-26,7,C14_L02_01_006,22,6,22,4,2,119,6.72371898,2.269427813,
2021-11-02,14,C14_L02_01_006,22.44444444,7,22,4,3,238,13.44743796,3.797905425,
2021-11-23,0,C14_L02_01_006,24.3,2,24,2,0,0,0,1.28549969,24
2021-11-30,7,C14_L02_01_006,24.2,4,24,2,2,133,6.443998124,2.41896278,24
2021-12-07,14,C14_L02_01_006,23.90909091,6,23,2,4,252,13.18358256,4.016379349,
2021-12-28,0,C14_L02_01_006,24.33333333,1,24,1,0,0,0,1.28549969,24
2022-01-11,7,C14_L02_01_006,24,5,24,1,4,133,6.443998124,2.41896278,24
2022-01-18,14,C14_L02_01_006,23.6,9,23,1,8,252,13.18358256,4.016379349,
2021-09-07,0,C14_L02_01_007,22,4,22,4,0,0,0,1.28549969,
2021-09-14,7,C14_L02_01_007,21.33333333,7,21,4,3,112,6.8356237,2.19755271,21
2021-09-07,0,C14_L02_01_008,22,4,22,4,0,0,0,1.28549969,
2021-09-14,7,C14_L02_01_008,21.35294118,7,21,4,3,112,6.8356237,2.19755271,21
2021-08-31,0,C15_L02_01_001,20.08333333,2,20,2,0,0,0,1.28549969,
2021-09-07,7,C15_L02_01_001,19.75,3,19,2,1,98,6.979567029,2.059464308,
2021-09-14,14,C15_L02_01_001,18.91176471,3,18,2,1,182,14,3.005130187,18
2021-09-23,23,C15_L02_01_001,19.5,8,19,2,6,322,22.9328631,5.219835431,
2021-09-26,0,C15_L02_01_001,19.23076923,6,19,6,0,0,0,1.28549969,
2021-10-19,0,C15_L02_01_001,21.8,3,21,3,0,0,0,1.28549969,21
2021-10-26,7,C15_L02_01_001,22.2,5,22,3,2,119,6.72371898,2.269427813,
2021-11-02,14,C15_L02_01_001,22.41666667,7,22,3,4,238,13.44743796,3.797905425,
2021-11-16,28,C15_L02_01_001,21.875,10,21,3,7,448,27.3424948,7.697768549,21
2021-11-23,0,C15_L02_01_001,22.1,2,22,2,0,0,0,1.28549969,
2021-11-30,7,C15_L02_01_001,22.1,4,22,2,2,119,6.72371898,2.269427813,
2021-12-07,14,C15_L02_01_001,22.27272727,6,22,2,4,238,13.44743796,3.797905425,
2021-08-31,0,C15_L02_01_002,20,2,20,2,0,0,0,1.28549969,
2021-09-07,7,C15_L02_01_002,19.83333333,4,19,2,2,98,6.979567029,2.059464308,
2021-09-14,14,C15_L02_01_002,18.97142857,4,18,2,2,182,14,3.005130187,18
2021-09-23,23,C15_L02_01_002,19.5,9,19,2,7,322,22.9328631,5.219835431,
2021-10-19,0,C15_L02_01_002,21.83333333,3,21,3,0,0,0,1.28549969,21
2021-10-26,7,C15_L02_01_002,22.2,5,22,3,2,119,6.72371898,2.269427813,
2021-11-02,14,C15_L02_01_002,22.41666667,6,22,3,3,238,13.44743796,3.797905425,
2021-11-09,21,C15_L02_01_002,22.66666667,8,22,3,5,357,20.17115694,5.880320095,
2021-11-16,28,C15_L02_01_002,21.88888889,9,21,3,6,448,27.3424948,7.697768549,21
2021-11-23,0,C15_L02_01_002,22.2,2,22,2,0,0,0,1.28549969,
2021-11-30,7,C15_L02_01_002,22.1,5,22,2,3,119,6.72371898,2.269427813,
2021-12-07,14,C15_L02_01_002,22.3,7,22,2,5,238,13.44743796,3.797905425,
2021-12-14,21,C15_L02_01_002,22.1,10,22,2,8,357,20.17115694,5.880320095,
2021-08-31,0,C15_L02_01_003,20,2,20,2,0,0,0,1.28549969,
2021-09-07,7,C15_L02_01_003,19.75,4,19,2,2,98,6.979567029,2.059464308,
2021-09-14,14,C15_L02_01_003,18.91428571,4,18,2,2,182,14,3.005130187,18
2021-09-23,23,C15_L02_01_003,19.58333333,9,19,2,7,322,22.9328631,5.219835431,
2021-09-26,0,C15_L02_01_003,19.16666667,7,19,7,0,0,0,1.28549969,
2021-10-19,0,C15_L02_01_003,21.8,2,21,2,0,0,0,1.28549969,21
2021-10-26,7,C15_L02_01_003,22.22222222,4,22,2,2,119,6.72371898,2.269427813,
2021-11-02,14,C15_L02_01_003,22.36363636,6,22,2,4,238,13.44743796,3.797905425,
2021-11-09,21,C15_L02_01_003,22.5,6,22,2,4,357,20.17115694,5.880320095,
2021-11-23,0,C15_L02_01_003,22,2,22,2,0,0,0,1.28549969,
